NOC,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,Numeric_code,Latitude,Longitude
CHN,350,347,292,989,156,35,105
USA,2638,1641,1358,5637,840,38,-97
FIN,198,270,432,900,246,64,26
NOR,378,361,294,1033,578,62,10
ROU,161,200,292,653,642,46,25
EST,13,12,25,50,233,59,26
FRA,501,610,666,1777,250,46,2
MAR,6,5,12,23,504,32,-5
ESP,110,243,136,489,724,40,-4
EGY,7,8,12,27,818,27,30
ITA,575,531,531,1637,380,43,13
AZE,7,12,25,44,31,41,48
RUS,390,367,408,1165,643,60,100
ARG,91,92,91,274,32,-34,-64
CUB,164,129,116,409,192,22,-80
BLR,24,44,71,139,112,53,28
CMR,20,1,1,22,120,6,12
TUR,40,27,28,95,792,39,35
MEX,30,26,54,110,484,23,-102
HUN,432,332,371,1135,348,47,20
BRN,1,1,1,3,96,5,115
PAK,42,45,34,121,586,30,70
IRQ,0,0,1,1,368,33,44
QAT,0,1,4,5,634,26,51
CAN,463,438,451,1352,124,60,-95
IRL,9,13,13,35,372,53,-8
AUS,348,455,517,1320,36,-27,133
ERI,0,0,1,1,232,15,39
JOR,1,0,0,1,400,31,36
TUN,3,3,7,13,788,34,9
BEL,98,197,173,468,56,51,4
DJI,0,0,1,1,262,12,43
COM,0,0,0,0,174,-12,44
KAZ,20,25,32,77,398,48,68
IND,138,19,40,197,356,20,77
SYR,1,1,1,3,760,35,38
MDV,0,0,0,0,462,3,73
ETH,22,9,22,53,231,8,38
SGP,1,4,4,9,702,1,104
UZB,10,7,17,34,860,41,64
KGZ,0,1,2,3,417,41,75
TJK,1,1,2,4,762,39,71
JPN,247,309,357,913,392,36,138
BRA,109,175,191,475,76,-10,-55
ISR,1,1,7,9,376,32,35
SWE,479,522,535,1536,752,62,15
ARM,2,5,9,16,51,40,45
CIV,1,1,1,3,384,8,-5
KEN,34,41,31,106,404,1,38
BEN,0,0,0,0,204,10,2
UKR,47,52,100,199,804,49,32
GBR,678,739,651,2068,826,54,-2
GHA,0,1,22,23,288,8,-2
SOM,0,0,0,0,706,10,49
MLI,0,0,0,0,466,17,-4
AFG,0,0,2,2,4,33,65
POL,117,195,253,565,616,52,20
PAN,1,0,2,3,591,9,-80
GEO,8,6,18,32,268,42,44
GUY,0,0,1,1,328,5,-59
NZL,90,56,82,228,554,-41,174
VEN,2,3,10,15,862,8,-66
COL,5,9,14,28,170,4,-72
PER,1,14,0,15,604,-10,-76
UGA,2,3,2,7,800,1,32
ECU,1,1,0,2,218,-2,-78
TKM,0,0,0,0,795,40,60
LUX,4,4,0,8,442,50,6
CZE,42,36,66,144,203,50,16
TTO,7,8,17,32,780,11,-61
DOM,3,2,2,7,214,19,-71
JAM,38,75,44,157,388,18,-78
LBR,0,0,0,0,430,7,-10
SUR,1,0,1,2,740,4,-56
AUT,108,186,156,450,40,47,13
PLW,0,0,0,0,585,8,135
LTU,6,7,48,61,440,56,24
NAM,0,4,0,4,516,-22,17
ISL,0,15,2,17,352,65,-18
RWA,0,0,0,0,646,-2,30
DMA,0,0,0,0,212,15,-61
MLT,0,0,0,0,470,36,15
CYP,0,1,0,1,196,35,33
KOR,221,232,185,638,410,37,128
THA,9,8,13,30,764,15,100
SLE,0,0,0,0,694,9,-12
PNG,0,0,0,0,598,-6,147
YEM,0,0,0,0,887,15,48
MDA,0,3,5,8,498,47,29
SRB,15,29,41,85,688,44,21
MOZ,1,0,1,2,508,-18,35
CAF,0,0,0,0,140,7,21
BIH,0,0,0,0,70,44,18
GUM,0,0,0,0,316,13,145
SVK,15,19,13,47,703,49,20
TLS,0,0,0,0,626,-9,126
COD,0,0,0,0,180,0,25
GAB,0,1,0,1,266,-1,12
SMR,0,0,0,0,674,44,12
LAO,0,0,0,0,418,18,105
PRK,16,16,35,67,408,40,127
SEN,0,1,0,1,686,14,-14
CPV,0,0,0,0,132,16,-24
BOL,0,0,0,0,68,-17,-65
AND,0,0,0,0,20,43,2
ANT,0,0,0,0,530,12,-69
HKG,1,2,1,4,344,22,114
LCA,0,0,0,0,662,14,-61
FSM,0,0,0,0,583,7,158
STP,0,0,0,0,678,1,7
MKD,0,0,1,1,807,42,22
LIE,2,2,5,9,438,47,10
MNE,0,14,0,14,499,42,19
COK,0,0,0,0,184,-21,-160
ALB,0,0,0,0,8,41,20
SWZ,0,0,0,0,748,-27,32
BDI,1,1,0,2,108,-4,30
NRU,0,0,0,0,520,-1,167
VNM,0,0,0,0,704,16,106
MHL,0,0,0,0,584,9,168
KIR,0,0,0,0,296,1,173
TUV,0,0,0,0,798,-8,178
SSD,0,0,0,0,728,8,30
