,NOC,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals
0,CHN,350,347,292,989
1,DEN,179,241,177,597
2,NED,287,340,413,1040
3,USA,2638,1641,1358,5637
4,FIN,198,270,432,900
5,NOR,378,361,294,1033
6,ROU,161,200,292,653
7,EST,13,12,25,50
8,FRA,501,610,666,1777
9,MAR,6,5,12,23
10,ESP,110,243,136,489
11,EGY,7,8,12,27
12,IRI,18,21,29,68
13,BUL,54,144,144,342
14,ITA,575,531,531,1637
15,CHA,0,0,0,0
16,AZE,7,12,25,44
17,SUD,0,1,0,1
18,RUS,390,367,408,1165
19,ARG,91,92,91,274
20,CUB,164,129,116,409
21,BLR,24,44,71,139
22,GRE,62,109,84,255
23,CMR,20,1,1,22
24,TUR,40,27,28,95
25,CHI,3,9,20,32
26,MEX,30,26,54,110
27,URS,1082,732,689,2503
28,NCA,0,0,0,0
29,HUN,432,332,371,1135
30,NGR,23,30,46,99
31,ALG,5,4,8,17
32,KUW,0,0,2,2
33,BRN,1,1,1,3
34,PAK,42,45,34,121
35,IRQ,0,0,1,1
36,UAR,0,1,1,2
37,LIB,0,2,2,4
38,QAT,0,1,4,5
39,MAS,0,11,5,16
40,GER,745,674,746,2165
41,CAN,463,438,451,1352
42,IRL,9,13,13,35
43,AUS,348,455,517,1320
44,RSA,32,47,52,131
45,ERI,0,0,1,1
46,TAN,0,2,0,2
47,JOR,1,0,0,1
48,TUN,3,3,7,13
49,LBA,0,0,0,0
50,BEL,98,197,173,468
51,DJI,0,0,1,1
52,PLE,0,0,0,0
53,COM,0,0,0,0
54,KAZ,20,25,32,77
55,BRU,0,0,0,0
56,IND,138,19,40,197
57,KSA,0,1,5,6
58,SYR,1,1,1,3
59,MDV,0,0,0,0
60,ETH,22,9,22,53
61,UAE,1,0,1,2
62,YAR,0,0,0,0
63,INA,11,17,13,41
64,PHI,0,3,7,10
65,SGP,1,4,4,9
66,UZB,10,7,17,34
67,KGZ,0,1,2,3
68,TJK,1,1,2,4
69,EUN,127,71,81,279
70,JPN,247,309,357,913
71,CGO,0,0,0,0
72,SUI,175,248,268,691
73,BRA,109,175,191,475
74,FRG,159,194,233,586
75,GDR,397,327,281,1005
76,MON,0,0,1,1
77,ISR,1,1,7,9
78,URU,31,2,30,63
79,SWE,479,522,535,1536
80,ISV,0,1,0,1
81,SRI,0,2,0,2
82,ARM,2,5,9,16
83,CIV,1,1,1,3
84,KEN,34,41,31,106
85,BEN,0,0,0,0
86,UKR,47,52,100,199
87,GBR,678,739,651,2068
88,GHA,0,1,22,23
89,SOM,0,0,0,0
90,LAT,3,19,13,35
91,NIG,0,1,1,2
92,MLI,0,0,0,0
93,AFG,0,0,2,2
94,POL,117,195,253,565
95,CRC,1,1,2,4
96,PAN,1,0,2,3
97,GEO,8,6,18,32
98,SLO,8,13,27,48
99,CRO,58,54,37,149
100,GUY,0,0,1,1
101,NZL,90,56,82,228
102,POR,4,11,26,41
103,PAR,0,17,0,17
104,ANG,0,0,0,0
105,VEN,2,3,10,15
106,COL,5,9,14,28
107,BAN,0,0,0,0
108,PER,1,14,0,15
109,ESA,0,0,0,0
110,PUR,1,2,6,9
111,UGA,2,3,2,7
112,HON,0,0,0,0
113,ECU,1,1,0,2
114,TKM,0,0,0,0
115,MRI,0,0,1,1
116,SEY,0,0,0,0
117,TCH,81,225,182,488
118,LUX,4,4,0,8
119,MTN,0,0,0,0
120,CZE,42,36,66,144
121,SKN,0,0,0,0
122,TTO,7,8,17,32
123,DOM,3,2,2,7
124,VIN,0,0,0,0
125,JAM,38,75,44,157
126,LBR,0,0,0,0
127,SUR,1,0,1,2
128,NEP,1,0,0,1
129,MGL,2,10,14,26
130,AUT,108,186,156,450
131,PLW,0,0,0,0
132,LTU,6,7,48,61
133,TOG,0,0,1,1
134,NAM,0,4,0,4
135,AHO,0,1,0,1
136,ISL,0,15,2,17
137,ASA,0,0,0,0
138,SAM,0,0,0,0
139,RWA,0,0,0,0
140,DMA,0,0,0,0
141,HAI,1,1,5,7
142,MLT,0,0,0,0
143,CYP,0,1,0,1
144,GUI,0,0,0,0
145,BIZ,0,0,0,0
146,YMD,0,0,0,0
147,KOR,221,232,185,638
148,THA,9,8,13,30
149,BER,0,0,1,1
150,ANZ,20,4,5,29
151,SCG,12,26,26,64
152,SLE,0,0,0,0
153,PNG,0,0,0,0
154,YEM,0,0,0,0
155,IOA,1,1,3,5
156,OMA,0,0,0,0
157,FIJ,13,0,0,13
158,VAN,0,0,0,0
159,MDA,0,3,5,8
160,YUG,130,167,93,390
161,BAH,14,11,15,40
162,GUA,0,1,0,1
163,SRB,15,29,41,85
164,IVB,0,0,0,0
165,MOZ,1,0,1,2
166,CAF,0,0,0,0
167,MAD,0,0,0,0
168,MAL,0,0,0,0
169,BIH,0,0,0,0
170,GUM,0,0,0,0
171,CAY,0,0,0,0
172,SVK,15,19,13,47
173,BAR,0,0,1,1
174,GBS,0,0,0,0
175,TLS,0,0,0,0
176,COD,0,0,0,0
177,GAB,0,1,0,1
178,SMR,0,0,0,0
179,LAO,0,0,0,0
180,BOT,0,1,0,1
181,ROT,0,0,0,0
182,CAM,0,0,0,0
183,PRK,16,16,35,67
184,SOL,0,0,0,0
185,SEN,0,1,0,1
186,CPV,0,0,0,0
187,CRT,0,0,0,0
188,GEQ,0,0,0,0
189,BOL,0,0,0,0
190,SAA,0,0,0,0
191,AND,0,0,0,0
192,ANT,0,0,0,0
193,ZIM,17,4,1,22
194,GRN,1,1,0,2
195,HKG,1,2,1,4
196,LCA,0,0,0,0
197,FSM,0,0,0,0
198,MYA,0,0,0,0
199,MAW,0,0,0,0
200,ZAM,0,1,1,2
201,RHO,0,0,0,0
202,TPE,3,28,18,49
203,STP,0,0,0,0
204,MKD,0,0,1,1
205,BOH,0,1,11,12
206,TGA,0,1,0,1
207,LIE,2,2,5,9
208,MNE,0,14,0,14
209,GAM,0,0,0,0
210,COK,0,0,0,0
211,ALB,0,0,0,0
212,WIF,0,0,5,5
213,SWZ,0,0,0,0
214,BUR,0,0,0,0
215,NBO,0,0,0,0
216,BDI,1,1,0,2
217,ARU,0,0,0,0
218,NRU,0,0,0,0
219,VNM,0,0,0,0
220,VIE,1,3,0,4
221,BHU,0,0,0,0
222,MHL,0,0,0,0
223,KIR,0,0,0,0
224,UNK,0,0,0,0
225,TUV,0,0,0,0
226,NFL,0,0,0,0
227,KOS,1,0,0,1
228,SSD,0,0,0,0
229,LES,0,0,0,0
